Technique ID,Technique Name,Tactics,Technique Description,Platform,Link,Changed
T1001.001,Data Obfuscation: Junk Data,Command And Control,"Adversaries may add junk data to protocols used for command and control to make detection more difficult. By adding random or meaningless data to the protocols used for command and control, adversaries can prevent trivial methods for decoding, deciphering, or otherwise analyzing the traffic. Examples may include appending/prepending data with junk characters or writing junk characters between significant characters.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1001/001,No
T1001.002,Data Obfuscation: Steganography,Command And Control,"Adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult. Steganographic techniques can be used to hide data in digital messages that are transferred between systems. This hidden information can be used for command and control of compromised systems. In some cases, the passing of files embedded using steganography, such as image or document files, can be used for command and control.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1001/002,No
T1001.003,Data Obfuscation: Protocol Impersonation,Command And Control,"Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. By impersonating legitimate protocols or web services, adversaries can make their command and control traffic blend in with legitimate network traffic.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1001/003,No
T1003.001,OS Credential Dumping: LSASS Memory,Credential Access,Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS).,Windows,https://attack.mitre.org/techniques/T1003/001,No
T1003.002,OS Credential Dumping: Security Account Manager,Credential Access,Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where the SAM database is stored.,Windows,https://attack.mitre.org/techniques/T1003/002,No
T1003.003,OS Credential Dumping: NTDS,Credential Access,"Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights.",Windows,https://attack.mitre.org/techniques/T1003/003,No
T1003.004,OS Credential Dumping: LSA Secrets,Credential Access,"Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secrets, which can contain a variety of different credential materials, such as credentials for service accounts",Windows,https://attack.mitre.org/techniques/T1003/004,No
T1003.005,OS Credential Dumping: Cached Domain Credentials,Credential Access,Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.,Windows,https://attack.mitre.org/techniques/T1003/005,No
T1003.006,OS Credential Dumping: DCSync,Credential Access,Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface to simulate the replication process from a remote domain controller using a technique called DCSync.,Windows,https://attack.mitre.org/techniques/T1003/006,No
T1003.007,OS Credential Dumping: Proc Filesystem,Credential Access,Adversaries may gather credentials from information stored in the Proc filesystem. The Proc filesystem on Linux contains a great deal of information regarding the state of the running operating system.,Linux,https://attack.mitre.org/techniques/T1003/007,No
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,Credential Access,Adversaries may attempt to dump the contents of /etc/passwd and /etc/shadow to enable offline password cracking.,Linux,https://attack.mitre.org/techniques/T1003/008,No
T1005,Data from Local System,Collection,"Adversaries may search local system sources, such as file systems or local databases, to find files of interest and sensitive data prior to Exfiltration.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1005,No
T1006,Direct Volume Access,Defense Evasion,Adversaries may directly access a volume to bypass file access controls and file system monitoring.,Windows,https://attack.mitre.org/techniques/T1006,No
T1007,System Service Discovery,Discovery,Adversaries may try to get information about registered services.,Windows,https://attack.mitre.org/techniques/T1007,No
T1008,Fallback Channels,Command And Control,Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1008,No
T1010,Application Window Discovery,Discovery,Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used or give context to information collected by a keylogger.,"Windows,macOS",https://attack.mitre.org/techniques/T1010,No
T1011.001,Exfiltration Over Other Network Medium: Exfiltration Over Bluetooth,Exfiltration,"Adversaries may attempt to exfiltrate data over Bluetooth rather than the command and control channel. If the command and control network is a wired Internet connection, an attacker may opt to exfiltrate data using a Bluetooth communication channel.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1011/001,No
T1012,Query Registry,Discovery,"Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software. Adversaries may use the information from Query Registry during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.",Windows,https://attack.mitre.org/techniques/T1012,No
T1014,Rootkit,Defense Evasion,"Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system information.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1014,No
T1016.001,System Network Configuration Discovery: Internet Connection Discovery,Discovery,"Adversaries may check for Internet connectivity on compromised systems. This may be performed during automated discovery and can be accomplished in numerous ways such as using [Ping](https://attack.mitre.org/software/S0097), <code>tracert</code>, and GET requests to websites.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1016/001,Yes
T1018,Remote System Discovery,Discovery,"Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system. Functionality could exist within remote access tools to enable this, but utilities available on the operating system could also be used such as  Ping, net view, bonjour etc.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1018,No
T1020.001,Automated Exfiltration: Traffic Duplication,Exfiltration,"Adversaries may leverage traffic mirroring in order to automate data exfiltration over compromised network infrastructure.  Traffic mirroring is a native feature for some network devices and used for network analysis and may be configured to duplicate traffic and forward to one or more destinations for analysis by a network analyzer or other monitoring device. Adversaries may use traffic duplication in conjunction with Network Sniffing, Input Capture or Man-in-the-Middle to achieve their objective.",Network,https://attack.mitre.org/techniques/T1020/001,No
T1021.001,Remote Services: Remote Desktop Protocol,Lateral Movement,Adversaries may use Valid Accounts to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on user. Remote desktop allows a user to log into an interactive session with a system desktop graphical user interface on a remote system. Adversaries may connect to a remote system over RDP to expand access if the service is enabled and allows access to accounts with known credentials. Adversaries will likely use Credential Access techniques to acquire credentials to use with RDP. Adversaries may also use RDP in conjunction with the Accessibility Features technique for Persistence.,Windows,https://attack.mitre.org/techniques/T1021/001,No
T1021.002,Remote Services: SMB/Windows Admin Shares,Lateral Movement,Adversaries may use Valid Accounts to interact with a remote network share using Server Message Block (SMB). The adversary may then perform actions as the logged-on user.,Windows,https://attack.mitre.org/techniques/T1021/002,No
T1021.003,Remote Services: Distributed Component Object Model,Lateral Movement,"Adversaries may use Valid Accounts to interact with remote machines by taking advantage of Distributed Component Object Model (DCOM). The adversary may then perform actions as the logged-on user. Permissions to interact with local and remote server COM objects are specified by access control lists (ACL) in the Registry. By default, only Administrators may remotely activate and launch COM objects through DCOM. Through DCOM, adversaries operating in the context of an appropriately privileged user can remotely obtain arbitrary and even direct shellcode execution through Office applications as well as other Windows objects that contain insecure methods. DCOM can also execute macros in existing documents and may also invoke Dynamic Data Exchange (DDE) execution directly through a COM created instance of a Microsoft Office application, bypassing the need for a malicious document.",Windows,https://attack.mitre.org/techniques/T1021/003,No
T1021.004,Remote Services: SSH,Lateral Movement,Adversaries may use Valid Accounts to log into remote machines using Secure Shell (SSH). The adversary may then perform actions as the logged-on user.,"Linux,macOS",https://attack.mitre.org/techniques/T1021/004,No
T1021.005,Remote Services: VNC,Lateral Movement,Adversaries may use Valid Accounts to remotely control machines using Virtual Network Computing (VNC). The adversary may then perform actions as the logged-on user.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1021/005,No
T1021.006,Remote Services: Windows Remote Management,Lateral Movement,Adversaries may use Valid Accounts to interact with remote systems using Windows Remote Management (WinRM). The adversary may then perform actions as the logged-on user.,Windows,https://attack.mitre.org/techniques/T1021/006,No
T1025,Data from Removable Media,Collection,"Adversaries may search connected removable media on computers they have compromised to find files of interest. Sensitive data can be collected from any removable media (optical disk drive, USB memory, etc.) connected to the compromised system prior to Exfiltration. Interactive command shells may be in use.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1025,No
